# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/4.mdl - |" "ark:gunzip -c exp/mono/fsts.2.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split2/2/utt2spk scp:data/train/split2/2/cmvn.scp scp:data/train/split2/2/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.2.gz" 
# Started at Sun Aug 22 17:28:14 IST 2021
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/4.mdl - |' 'ark:gunzip -c exp/mono/fsts.2.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split2/2/utt2spk scp:data/train/split2/2/cmvn.scp scp:data/train/split2/2/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.2.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/4.mdl - 
WARNING (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:82) The pdfs for the silence phones may be shared by other phones (note: this probably does not matter.)
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:93) Boosted weights for 3 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:103) Wrote model to -
apply-cmvn --utt2spk=ark:data/train/split2/2/utt2spk scp:data/train/split2/2/cmvn.scp scp:data/train/split2/2/feats.scp ark:- 
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0006
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0007
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0008
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0009
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0014
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0017
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0021
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0022
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0024
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) AS015M0025
