exp/mono/decode_test_bigram/wer_10_0.0:%WER 5.25 [ 235 / 4480, 131 ins, 12 del, 92 sub ]
exp/mono/decode_test_bigram/wer_10_0.5:%WER 5.20 [ 233 / 4480, 129 ins, 12 del, 92 sub ]
exp/mono/decode_test_bigram/wer_10_1.0:%WER 5.11 [ 229 / 4480, 125 ins, 12 del, 92 sub ]
exp/mono/decode_test_bigram/wer_11_0.0:%WER 5.16 [ 231 / 4480, 128 ins, 12 del, 91 sub ]
exp/mono/decode_test_bigram/wer_11_0.5:%WER 5.09 [ 228 / 4480, 125 ins, 12 del, 91 sub ]
exp/mono/decode_test_bigram/wer_11_1.0:%WER 4.91 [ 220 / 4480, 117 ins, 14 del, 89 sub ]
exp/mono/decode_test_bigram/wer_12_0.0:%WER 5.09 [ 228 / 4480, 126 ins, 12 del, 90 sub ]
exp/mono/decode_test_bigram/wer_12_0.5:%WER 4.93 [ 221 / 4480, 118 ins, 14 del, 89 sub ]
exp/mono/decode_test_bigram/wer_12_1.0:%WER 4.80 [ 215 / 4480, 112 ins, 15 del, 88 sub ]
exp/mono/decode_test_bigram/wer_13_0.0:%WER 5.00 [ 224 / 4480, 121 ins, 13 del, 90 sub ]
exp/mono/decode_test_bigram/wer_13_0.5:%WER 4.82 [ 216 / 4480, 112 ins, 15 del, 89 sub ]
exp/mono/decode_test_bigram/wer_13_1.0:%WER 4.69 [ 210 / 4480, 104 ins, 15 del, 91 sub ]
exp/mono/decode_test_bigram/wer_14_0.0:%WER 4.93 [ 221 / 4480, 115 ins, 14 del, 92 sub ]
exp/mono/decode_test_bigram/wer_14_0.5:%WER 4.75 [ 213 / 4480, 106 ins, 15 del, 92 sub ]
exp/mono/decode_test_bigram/wer_14_1.0:%WER 4.60 [ 206 / 4480, 96 ins, 18 del, 92 sub ]
exp/mono/decode_test_bigram/wer_15_0.0:%WER 4.75 [ 213 / 4480, 109 ins, 15 del, 89 sub ]
exp/mono/decode_test_bigram/wer_15_0.5:%WER 4.67 [ 209 / 4480, 101 ins, 17 del, 91 sub ]
exp/mono/decode_test_bigram/wer_15_1.0:%WER 4.46 [ 200 / 4480, 92 ins, 18 del, 90 sub ]
exp/mono/decode_test_bigram/wer_16_0.0:%WER 4.75 [ 213 / 4480, 104 ins, 15 del, 94 sub ]
exp/mono/decode_test_bigram/wer_16_0.5:%WER 4.58 [ 205 / 4480, 93 ins, 18 del, 94 sub ]
exp/mono/decode_test_bigram/wer_16_1.0:%WER 4.53 [ 203 / 4480, 90 ins, 18 del, 95 sub ]
exp/mono/decode_test_bigram/wer_17_0.0:%WER 4.71 [ 211 / 4480, 97 ins, 17 del, 97 sub ]
exp/mono/decode_test_bigram/wer_17_0.5:%WER 4.60 [ 206 / 4480, 92 ins, 18 del, 96 sub ]
exp/mono/decode_test_bigram/wer_17_1.0:%WER 4.51 [ 202 / 4480, 86 ins, 20 del, 96 sub ]
exp/mono/decode_test_bigram/wer_7_0.0:%WER 5.69 [ 255 / 4480, 155 ins, 10 del, 90 sub ]
exp/mono/decode_test_bigram/wer_7_0.5:%WER 5.47 [ 245 / 4480, 145 ins, 11 del, 89 sub ]
exp/mono/decode_test_bigram/wer_7_1.0:%WER 5.38 [ 241 / 4480, 138 ins, 11 del, 92 sub ]
exp/mono/decode_test_bigram/wer_8_0.0:%WER 5.42 [ 243 / 4480, 144 ins, 11 del, 88 sub ]
exp/mono/decode_test_bigram/wer_8_0.5:%WER 5.31 [ 238 / 4480, 136 ins, 12 del, 90 sub ]
exp/mono/decode_test_bigram/wer_8_1.0:%WER 5.25 [ 235 / 4480, 133 ins, 12 del, 90 sub ]
exp/mono/decode_test_bigram/wer_9_0.0:%WER 5.33 [ 239 / 4480, 136 ins, 12 del, 91 sub ]
exp/mono/decode_test_bigram/wer_9_0.5:%WER 5.22 [ 234 / 4480, 131 ins, 12 del, 91 sub ]
exp/mono/decode_test_bigram/wer_9_1.0:%WER 5.18 [ 232 / 4480, 129 ins, 12 del, 91 sub ]
